playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
James Develin,RB,NE,RB,NE,null,0.3149,null,null,null,127,null,null,0.016,null,null,null,0.5249,0,null,null
Rob Housler,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Vincent Brown,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
T.J. Yates,QB,HOU,QB,HOU,null,0.0108,null,null,null,69,null,null,0.0032,null,null,null,0.0187,0,3.571,null
Will Tukuafu,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Bryan Walters,WR,JAC,WR,JAC,null,1.987,null,null,null,132,null,null,0.226,null,null,null,3.6478,0.22,5.7141,null
Chris Hogan,WR,NE,WR,NE,null,7.2311,null,null,null,69,null,null,0.1647,null,null,null,9.7676,4.89,6.6253,null
Robert Hughes,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Drew Davis,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Jeremy Ross,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Kamar Aiken,WR,BAL,WR,BAL,null,9.3472,null,null,null,53,null,null,0.166,null,null,null,10.3537,6.9586,4.5556,null
DuJuan Harris,RB,SF,RB,SF,null,1.0039,null,null,null,111,null,null,0.121,null,null,null,1.6312,0,null,null
Henry Hynoski,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Dontrelle Inman,WR,SD,WR,SD,null,5.5189,null,null,null,89,null,null,0.1796,null,null,null,6.8937,2.5979,5.5036,null
Doug Baldwin,WR,SEA,WR,SEA,null,16.3837,null,null,null,17,null,null,0.3239,null,null,null,19.3847,13.59,5.9038,null
Patrick DiMarco,RB,ATL,RB,ATL,null,1.6977,null,null,null,96,null,null,0.1179,null,null,null,2.4254,1.02,4.789,null
Chris Matthews,WR,BAL,WR,BAL,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Chase Reynolds,RB,LA,RB,LA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Terrelle Pryor,WR,CLE,WR,CLE,null,3,null,null,null,120,null,null,0.1037,null,null,null,3,3,null,null
Terrelle Pryor,QB,CLE,QB,CLE,null,0.15,null,null,null,61,null,null,0.014,null,null,null,0.15,0.15,null,null
Travis Benjamin,WR,SD,WR,SD,null,8.4736,null,null,null,60,null,null,0.139,null,null,null,10.1562,5.2621,5.0871,null
Brandon Bolden,RB,NE,RB,NE,null,2.6108,null,null,null,80,null,null,0.1657,null,null,null,3.6222,0,7.1496,null
Jarrett Boykin,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
LaVon Brazill,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Ryan Broyles,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
LaRon Byrd,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
